Date,Model,TimeWindows,T_MAE,T_RMSE,T_R2,T_MAPE,H_MAE,H_RMSE,H_R2,H_MAPE
2019-08-23,linear_regression,1,0.147109870398661,0.3714374877436149,0.9393039912095286,0.0059743585143211,1.5905793043753085,1.889319302506358,-1.4626441974414233,0.0283576223909306
2019-08-24,linear_svr,1,0.2920395954332641,0.4103039429528686,0.8970759717593283,0.0133598794576591,0.2637776524345442,0.4152454423666265,0.8037319104200747,0.0050772373174352
2019-08-25,extra_trees_regressor,1,0.008705944055963,0.0144581322241752,-0.5065148145925842,0.0004127234137354,0.0228192307692312,0.034672159989272,-0.7273958404366179,0.0004383883526885
2019-08-26,kneighbors_regressor,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2019-08-27,linear_svr,1,0.8090398888610312,1.255514352038756,0.4211058502749664,0.0344525049207071,4.737457974155334,6.35105005003922,-1.4419237925923802,0.0794372806402433
2019-08-28,linear_regression,1,0.0596757578349679,0.0935668287252888,0.96106243783949,0.0023193771624301,0.37461336853006,0.5223938605867068,0.3144252985410006,0.0077000418965717
2019-08-29,linear_regression,1,0.0534893431253585,0.1874572274365895,0.8839110079513934,0.0020832842291001,1.1447247903536433,1.287968321431288,-1.6804388022915946,0.0244666181439396
2019-08-30,linear_regression,7,0.0797800853129451,0.1807462602535383,0.6457411093237382,0.0032603610920195,0.1820141895034488,0.3102124734288625,0.768040793097041,0.0041098853750415
2019-08-31,linear_svr,7,0.0729869986934444,0.2011818893995657,0.9252009490675328,0.003106616609026,0.1152142047248034,0.1592228568192207,0.9268312307852516,0.002658809296035
2019-09-01,extra_trees_regressor,1,3.872457909892546e-13,3.872457909892546e-13,-2969.25,1.7006841940678438e-14,8.526512829121202e-14,8.526512829121202e-14,-143.0,1.9889229832333147e-15
2019-09-02,linear_regression,7,0.0642734117890375,0.0807615079215128,0.983798626792304,0.002691847065324,0.1595654024780385,0.4065512371119099,0.8856768826484396,0.0035642142267457
2019-09-03,linear_regression,7,0.0531704051416575,0.0906390845139445,0.957183496970544,0.0021410144253027,0.1814079687059688,0.4329893412183223,0.6021585986504481,0.0039080219343432
2019-09-04,linear_svr,7,0.0575078078460367,0.0896043857402721,0.9829014498220416,0.002191847742009,0.4005138333273384,0.6369453780804897,0.8479392274106519,0.008504874590584
2019-09-05,linear_regression,14,0.1091155549197976,0.147880224292929,0.9418877803379444,0.004302929974129,0.3321329962276339,0.6217200584480194,0.9765200504561706,0.0061067643866935
2019-09-06,linear_svr,1,0.0761993967555398,0.1117936454738326,0.9780399978801274,0.0030791824819288,0.3510057741518826,0.5710882762717866,0.9589329827828864,0.0061967570156137
2019-09-07,linear_regression,7,0.046957824275454,0.0624440645158176,0.9513614010172552,0.0018200389194822,0.2535220440361336,0.3906326036334586,0.9272490428827656,0.0047899218258879
2019-09-08,linear_regression,14,0.0408055340386085,0.0686033554306387,0.9667223720465364,0.0016250224010938,0.2356089834510161,0.3456225776542074,0.8839264518030491,0.0045975225623202
2019-09-09,linear_tree_regressor,14,0.0621069121460814,0.1019322451065962,0.986938728955305,0.0024603186262372,0.2657440212223079,0.4593545822086737,0.9799136482530766,0.0047867457970395
2019-09-10,linear_regression,7,0.0587255659295155,0.1057112787009477,0.9842764736090912,0.0023319299633964,0.2456750663594061,0.4723462632049925,0.9808698294154828,0.0044826834493123
2019-09-11,linear_regression,7,0.0644077455910353,0.1023486906470959,0.9488950890741558,0.0026398115802188,0.3249650530981456,0.547131305628263,0.9886551333345236,0.0059538994345825
2019-09-12,linear_regression,7,0.0546511860264015,0.0768089216556377,0.9885397800493668,0.0023080430174967,0.2557319095766491,0.3774205275710567,0.9698221418604264,0.0059259430971592
2019-09-13,linear_svr,7,0.0526220638398287,0.0803230332433382,0.9226118964663788,0.0022898955541305,0.2780295190082825,0.4188691610555416,0.2583455084733252,0.0066126775579056
2019-09-14,linear_tree_regressor,7,0.0425077330582624,0.0622207596253581,0.9927543588622276,0.0018100911470708,0.3354504347581131,0.4878393288264087,0.6401237400773899,0.0078930665913471
2019-09-15,linear_svr,7,0.0525511958565837,0.0742158273360779,0.9734975637737662,0.0021137565794555,0.2435506214455774,0.3602303599181484,0.5713048822077662,0.0055922666715534
2019-09-16,linear_tree_regressor,7,0.0912762151864858,0.1110063384985052,0.9848254182315844,0.0039952916320875,1.40257254796595,1.6438099726075577,0.578905009729946,0.030847398724212
2019-09-17,linear_svr,1,0.1127946979403022,0.1386867065256805,0.9753816148217151,0.0053968506519812,0.3931838012135467,0.5425211682723008,0.9506900489365132,0.0082262967545927
2019-09-18,extra_trees_regressor,1,0.0463406993007348,0.1051562275654821,0.9644880573986212,0.002191902999757,0.3859533216784847,0.7711583342370669,0.8305439145678983,0.0077301537974361
2019-09-19,linear_tree_regressor,14,0.0852538681030273,0.1129758081865945,0.92610922316742,0.0041914942543959,0.2663561128202855,0.4005653846801524,0.8578329740325161,0.0051201613425594
2019-09-20,linear_regression,7,0.0761916430931375,0.0946468378730494,0.9587552730101814,0.0037519272059804,0.3669346251938938,0.56793553728338,0.9582560625139022,0.0071475507328101
2019-09-21,linear_regression,14,0.055154131591508,0.0754501098251602,0.8648945411393634,0.0025805281666417,0.2715873040979423,0.4112773248639599,0.8805956548326844,0.0061865985476206
2019-09-22,linear_regression,30,0.0523446135036779,0.075892845940046,0.8948300445064172,0.0023995177448057,0.233010075888798,0.5776511998149487,0.6534535404650199,0.0053726867592841
