date,model,window_size,t3_mae,t3_rmse,t3_mape,1,[,2,3,4
2019-08-23,linear_regression,1,0.147109870398661,0.37143748774361496,93.93039912095286,0.005974358514321136,1.5905793043753085,1.889319302506358,-1.4626441974414233,0.028357622390930676
2019-08-24,linear_regression,1,0.28614779648598043,0.4111759309785025,89.47118769593897,0.013110176994964558,0.4013214420405836,0.5482687385552835,0.7095180869179107,0.007761928951923084
2019-08-25,linear_regression,1,0.11543925813808675,0.13709816155358245,-15.311965606442811,0.005458641837144489,0.14314049418625266,0.17308528057729994,-0.0031367596384657137,0.0027509488980055554
2019-08-26,linear_regression,1,2.9962046829604226e-15,3.2626151108642305e-15,-438.3928571428571,1.4220240545611874e-16,0.0,0.0,1.0,0.0
2019-08-27,linear_regression,1,0.9750166834772868,1.4167847348247051,14.785690749652558,0.04164218681956202,0.8567552447552447,1.344554258424015,0.0,0.016476062399139322
2019-08-28,linear_regression,1,0.059675757834967966,0.09356682872528886,96.10624378394901,0.0023193771624301696,0.3746133685300601,0.5223938605867068,0.31442529854100065,0.007700041896571717
2019-08-29,linear_regression,1,0.05348934312535858,0.18745722743658955,88.39110079513934,0.002083284229100133,1.1447247903536433,1.287968321431288,-1.6804388022915946,0.024466618143939658
2019-08-30,linear_regression,7,0.07978008531294517,0.18074626025353835,64.57411093237381,0.003260361092019577,0.1820141895034489,0.3102124734288625,0.768040793097041,0.004109885375041584
2019-08-31,linear_regression,7,0.0834223019539521,0.2091515684105305,91.89057895427123,0.003582744169208993,0.08287243012558937,0.1330795585810608,0.9483591165596916,0.001915292016290391
2019-09-01,linear_regression,7,0.02117418003942906,0.022889629602075055,-241.20779334151976,0.0009290155016994363,0.02031239358501506,0.02531264195029395,-0.5880333514120966,0.00047410738003967755
2019-09-02,linear_regression,7,0.0642734117890375,0.08076150792151286,98.3798626792304,0.002691847065324044,0.15956540247803855,0.4065512371119099,0.8856768826484396,0.0035642142267457134
2019-09-03,linear_regression,7,0.0531704051416575,0.09063908451394452,95.7183496970544,0.0021410144253027237,0.18140796870596887,0.4329893412183223,0.6021585986504481,0.0039080219343432705
2019-09-04,linear_regression,7,0.053658929893553295,0.09051855539011697,98.2558636038748,0.0020437951143122885,0.2833782181509097,0.5606325929427359,0.8808518617013046,0.0058886489339405705
2019-09-05,linear_regression,14,0.10911555491979763,0.14788022429292905,94.18877803379443,0.004302929974129034,0.3321329962276339,0.6217200584480194,0.9765200504561706,0.006106764386693514
2019-09-06,linear_regression,14,0.07956192869817813,0.115877547785109,97.28001065919591,0.0032441046344408608,0.2591173332407839,0.4698478807629639,0.96583021374158,0.004436480541342964
2019-09-07,linear_regression,7,0.046957824275454085,0.06244406451581766,95.13614010172552,0.0018200389194822726,0.2535220440361336,0.3906326036334586,0.9272490428827656,0.004789921825887915
2019-09-08,linear_regression,14,0.040805534038608586,0.06860335543063871,96.67223720465364,0.0016250224010938654,0.23560898345101616,0.3456225776542074,0.8839264518030491,0.004597522562320293
2019-09-09,linear_regression,14,0.06090121605170865,0.10463370904958116,98.54425273229124,0.002427145430963432,0.2772685574504448,0.4950443712625447,0.9776981148804812,0.005036605003734328
2019-09-10,linear_regression,7,0.058725565929515576,0.10571127870094772,98.42764736090912,0.002331929963396434,0.2456750663594061,0.4723462632049926,0.9808698294154828,0.0044826834493123975
2019-09-11,linear_regression,7,0.0644077455910353,0.10234869064709597,94.88950890741557,0.0026398115802188558,0.3249650530981457,0.547131305628263,0.9886551333345236,0.00595389943458251
2019-09-12,linear_regression,7,0.05465118602640152,0.07680892165563774,98.85397800493668,0.002308043017496768,0.25573190957664915,0.3774205275710568,0.9698221418604264,0.005925943097159264
2019-09-13,linear_regression,14,0.04745713898932316,0.08671690880117934,91.4959811386336,0.0020642370910379953,0.21039138156778692,0.396803776345386,0.34960726626221084,0.005047877939673646
2019-09-14,linear_regression,7,0.04375192165160186,0.06506035692630112,99.21592287421228,0.0018625518791082212,0.2378690444145344,0.4371370856543427,0.8368793008789046,0.005539959012159371
2019-09-15,linear_regression,14,0.047524670047462816,0.07639488799977649,97.24482287570548,0.001912861408291289,0.2112357959604705,0.3548488249130599,0.6156190380481323,0.004861511641686921
2019-09-16,linear_regression,14,0.10681050967075788,0.13507637613866275,97.9419508943,0.004717990707474811,0.3916915844685905,0.4870083172725424,0.9832856501150384,0.008462132920732024
2019-09-17,linear_regression,14,0.13081602624334585,0.16340591620407444,96.8239695890644,0.006182193614170278,0.39744989161424,0.577682733094444,0.9393912848974638,0.008323335681158346
2019-09-18,linear_regression,1,0.05690296586815394,0.10847717328862964,96.80237433067525,0.0026673904236566353,0.18143149669948705,0.3508528863259757,0.9763623708790948,0.0036798471134027156
2019-09-19,linear_regression,14,0.09871426614475934,0.13047410405724638,88.73960326242731,0.0048433756687234816,0.2788643851300505,0.38333524026701005,0.8600778075225805,0.005357768256624231
2019-09-20,linear_regression,7,0.07619164309313756,0.09464683787304948,95.87552730101814,0.0037519272059804475,0.36693462519389386,0.56793553728338,0.9582560625139022,0.007147550732810166
2019-09-21,linear_regression,14,0.05515413159150805,0.07545010982516029,86.48945411393633,0.0025805281666417324,0.2715873040979423,0.4112773248639599,0.8805956548326844,0.006186598547620612
2019-09-22,linear_regression,30,0.0523446135036779,0.07589284594004603,89.48300445064173,0.0023995177448057573,0.23301007588879802,0.5776511998149487,0.6534535404650199,0.00537268675928418
2019-09-23,linear_regression,30,0.05594481487845803,0.0751452710417053,76.42890910948574,0.0025758586373580967,0.2296096026614016,0.33872397644572283,0.8084764616275476,0.005471611675350237
